,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,rating
94,113,113,100,18,"""",23923,survey-likert,13,932913,0.0-2.0-0.10,6150a835a03467f9e2ff56ba,61e05c6eb0cfe8c09374f8c6,61e08140dc2e0764aeaa159d,6150a835a03467f9e2ff56ba,61e05c6eb0cfe8c09374f8c6,61e08140dc2e0764aeaa159d,"{""humanness"":0}",[0],"If someone turns on a bathtub tap, then a bathtub fills with water. But suppose someone turns on a bathtub tap, and then the bathtub does not fill with water.",rate_humanness,gpt-3,This could have happened because the tap was turned off.,17,unconstrained,2022-01-13 19:46:08,172.125.22.249,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.1,ee06c26e3904ece436b305bb5259738c,0
102,121,121,100,18,"""",26420,survey-likert,21,1143033,0.0-2.0-0.18,6150a835a03467f9e2ff56ba,61e05c6eb0cfe8c09374f8c6,61e08140dc2e0764aeaa159d,6150a835a03467f9e2ff56ba,61e05c6eb0cfe8c09374f8c6,61e08140dc2e0764aeaa159d,"{""humanness"":0}",[0],"If someone falls from a high height onto their outstretched arm, then they will break their wrist. But suppose someone falls from a high height onto their outstretched arm, and then they do not break their wrist.",rate_humanness,gpt-3,"This could have happened because they were falling in such a way that their wrist would not break, like if they were falling straight down.",17,unconstrained,2022-01-13 19:46:08,172.125.22.249,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.1,ee06c26e3904ece436b305bb5259738c,0
145,168,168,101,10,"""",15169.09999999404,survey-likert,22,507531,0.0-2.0-0.19,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If a fire in an apartment occurs, then the fire alarm goes off. But suppose a fire in an apartment occurs, and then the fire alarm do not goes off.",rate_humanness,gpt-3,This could have happened because it was a false alarm.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
146,169,169,101,10,"""",10984.79999999702,survey-likert,23,518539,0.0-2.0-0.20,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If an egg carton is dropped, then the eggs break. But suppose an egg carton is dropped, and then the eggs do not break.",rate_humanness,gpt-3,This could have happened because the eggs were in a different carton.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
147,170,170,101,10,"""",11344.59999999404,survey-likert,24,529899,0.0-2.0-0.21,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If someone does 50 jumping jacks in a room with a tower of dominos, then the tower of dominos falls over. But suppose someone does 50 jumping jacks in a room with a tower of dominos, and then the tower of dominos does not fall over.",rate_humanness,gpt-3,This could have happened because the person did not do the jumping jacks in a room with a tower of dominos.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
148,171,171,101,10,"""",14067.09999999404,survey-likert,25,543987,0.0-2.0-0.22,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If someone falls from a high height onto their outstretched arm, then they will break their wrist. But suppose someone falls from a high height onto their outstretched arm, and then they do not break their wrist.",rate_humanness,gpt-3,"This could have happened because their wrist was in a cast, so it did not break.",9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
151,174,174,101,10,"""",8175.29999999702,survey-likert,28,597756,0.0-2.0-0.25,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If a cat's tail is pulled, then the cat yowls. But suppose a cat's tail is pulled, and then the cat does not yowl.",rate_humanness,gpt-3,This could have happened because the cat is a Manx cat and therefore does not have a tail.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
153,176,176,101,10,"""",8672.20000000298,survey-likert,30,615747,0.0-2.0-0.27,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If an egg carton is dropped, then the eggs break. But suppose an egg carton is dropped, and then the eggs do not break.",rate_humanness,gpt-3,This could have happened because the eggs were already broken.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
154,177,177,101,10,"""",21340.60000000894,survey-likert,31,637109,0.0-2.0-0.28,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If a light is unplugged, then the light cannot turn on. But suppose a light is unplugged, and then the light can turn on.",rate_humanness,gpt-3,This could have happened because the light bulb was burned out and the light could not turn on.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
165,188,188,101,10,"""",7889.0999999940395,survey-likert,42,755259,0.0-2.0-0.39,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,5b33a01fa8327d0001003821,61e05c6eb0cfe8c09374f8c6,61e0814bb028e09a918fa9cf,"{""humanness"":0}",[0],"If someone walks through a metal detector with a metal watch, then alarms go off. But suppose someone walks through a metal detector with a metal watch, and then alarms do not go off.",rate_humanness,gpt-3,This could have happened because the person took the watch off before they walked through the metal detector.,9,unconstrained,2022-01-13 19:46:18,98.236.252.29,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",WebKit,Chrome,97.0.4692.71,Windows,6.3,ee06c26e3904ece436b305bb5259738c,0
