,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,task,constraint
0,103,8,"[{""page_index"":0,""viewing_time"":13388},{""page_index"":1,""viewing_time"":25311.600000023842},{""page_index"":2,""viewing_time"":21127.899999976158},{""page_index"":3,""viewing_time"":15599.899999976158}]",75428.39999997616,instructions,0,75437,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"""","""","""","""","""",""""
1,103,8,"""",122887.70000004768,survey-text,1,198403,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Q0"":""I commit to do my best to try to write high-quality explanations. I recognize that if I do not try my best to generate an explanation for each situation, I may not be paid.""}","""","""","""","""",""""
2,103,8,"[{""page_index"":0,""viewing_time"":2309.3000000715256}]",2309.600000023842,instructions,2,200715,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"""","""","""","""","""",""""
3,103,8,"""",37444.60000002384,survey-multi-choice,3,238163,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Q0"":""Explanations for events."",""Q1"":""By writing text."",""Q2"":""Not making a good attempt to write a high-quality answer for each task.""}","[0,1,2]","""","""","""",""""
4,103,8,"[{""page_index"":0,""viewing_time"":2049.6999999284744}]",2049.899999976158,instructions,4,240218,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"""","""","""","""","""",""""
5,103,8,"""",78671.69999992847,survey-text,5,318898,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Explanation"":""they don't own a fire alarm or the fire alarm is old and no longer works properly.""}","""",test,"If a fire in an apartment occurs, then the fire alarm goes off. But suppose a fire in an apartment occurs, and then the fire alarm do not goes off.","generate, single-constraint",the batteries in the fire alarm were dead
6,103,8,"""",61924,survey-text,6,380826,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Explanation"":""the pest outbreak were bees and they helped pollinate the crops.""}","""",test,"If pest outbreaks occur on a farm, then crops in the farm die. But suppose pest outbreaks occur on a farm, and then crops in the farm do not die.","generate, single-constraint",the crops were previously sprayed with pesticides
7,103,8,"""",52001.10000002384,survey-text,7,432834,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Explanation"":""there skin does not act negatively to poison ivy.  They do not easily get skin irritations.""}","""",test,"If someone touches poison ivy, then they get a rash. But suppose touches poison ivy, and then they do not get a rash.","generate, single-constraint",they were wearing gloves
8,103,8,"""",31935.300000071526,survey-text,8,464778,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Explanation"":""the window was covered with screen protectors.""}","""",test,"If rocks are thrown at a window, then the window breaks. But suppose rocks are thrown at a window, and then the window does not break.","generate, single-constraint",the window was made of shatter-proof glass
9,103,8,"""",22702.5,survey-text,9,487489,77,61c5edec03aa19ac7c1842d5,61ccbff93331f9aa72532ce1,5e121701dc79bd8a1a22ca99,61ccbff93331f9aa72532ce1,"{""Explanation"":""the person was wearing long pants.""}","""",test,"If someone falls on the sidewalk, then they scrape your knee. But suppose someone falls on the sidewalk, and then they do not scrape their knee.","generate, single-constraint",they are wearing knee pads
