,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,PROLIFIC_PID,rating
63,70,70,10,1,"""",120617.09999999964,survey-likert,21,969111,0.0-2.0-0.18,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,"I would place a large inflatable mattress on the ground, and place it in the landing area of the skydiver.",0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
72,79,79,10,1,"""",13798.300000000745,survey-likert,30,1090241,0.0-2.0-0.27,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would make a fan out of a bunch of leaves and twigs. I would also make a fan out of a bunch of feathers. I would make a fan out of a bunch of sticks. I would make a fan out of a bunch of straw. I would make a fan out of a bunch of grass. I would make a fan out of a bunch of paper. I would make a fan out of a bunch of cardboard. I would make a fan out of a bunch of newspaper.,0,"""",2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
74,81,81,10,1,"""",14304.0,survey-likert,32,1113128,0.0-2.0-0.29,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,"I would find a long, sturdy piece of wood and throw it to the skydiver as he falls.",0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
77,84,84,10,1,"""",7282.0,survey-likert,35,1140614,0.0-2.0-0.32,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would find a way to make a fan. I would make a large fan out of a big sheet of paper. I would then tie a string to the top of the fan and then tie the other end to a tree branch. I would then place the fan in the windiest area I could find.,0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
79,86,86,10,1,"""",7489.299999999815,survey-likert,37,1154141,0.0-2.0-0.34,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would build a tree house and put a mattress in it.,0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
82,89,89,10,1,"""",4169.600000000559,survey-likert,40,1172876,0.0-2.0-0.37,"""","""","""","{""humanness"":0}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would look around my house for things that are the same shape as the bookshelf I want to make.,0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
88,95,95,10,1,"""",6130.100000000559,survey-likert,46,1223119,0.0-2.0-0.43,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would grab a boat and lower it down to the skydiver. I would tie the skydiver to the boat so he wouldn't fall in the water.,0,constrained_single,2021-10-01 21:27:54,50.96.247.176,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,6.2,1f1e178240ddf5f7eeaf33036ce9a299,50.96.247.176,0
124,184,184,12,2,"""",5081.0,survey-likert,37,406269,0.0-2.0-0.34,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would get a lot of fans and blow the air all around me. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan. I would also get a lot of ice and put it in a bucket of water and then put the bucket of water in front of the fan.,1,constrained_single,2021-10-01 21:31:51,73.111.221.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,1f1e178240ddf5f7eeaf33036ce9a299,73.111.221.144,0
128,188,188,12,2,"""",11740.0,survey-likert,41,435609,0.0-2.0-0.38,"""","""","""","{""humanness"":0}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would find a way to get in contact with the electric company. I would ask them to shut off my power for a time. I would then open the windows and turn on the fans. I would then turn on the fans that are blowing into the house. I would then open the windows and turn on the fans that are blowing out of the house. I would then turn on the fans that are blowing out of the house and open the windows and turn on the fans that are blowing into the house. I would then open the windows and turn on the fans that are blowing out of the house and turn on the fans that are blowing into the house.,1,constrained_single,2021-10-01 21:31:51,73.111.221.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Macintosh,Safari,15.0,OS X,10_15_7,1f1e178240ddf5f7eeaf33036ce9a299,73.111.221.144,0
140,208,208,13,1,"""",26298.10000000149,survey-likert,12,569831,0.0-2.0-0.5,"""","""","""","{""humanness"":0}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,"I would find a long, sturdy piece of wood and throw it to the skydiver as he falls.",0,constrained_single,2021-10-08 17:14:48,98.179.164.66,"Mozilla/5.0 (X11; CrOS x86_64 14092.77.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.107 Safari/537.36",WebKit,Chrome,93.0.4577.107,ChromeOS,14092.77.0,196ea1dc72c2cd118a529d877bb0ad65,98.179.164.66,0
