,Unnamed: 0,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,real_world,typical_goal,task
0,0,10,1,"[{""page_index"":0,""viewing_time"":9923},{""page_index"":1,""viewing_time"":75755},{""page_index"":2,""viewing_time"":11586},{""page_index"":3,""viewing_time"":14946},{""page_index"":4,""viewing_time"":2550}]",114762,instructions,0,114785,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"""","""","""","""","""","""",""""
1,1,10,1,"""",10734,survey-multi-choice,1,125578,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""",""""
2,2,10,1,"[{""page_index"":0,""viewing_time"":2349}]",2350,instructions,2,127938,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"""","""","""","""","""","""",""""
3,3,10,1,"""",145569,survey-text,3,273684,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""I'd have to try out my ideas with that of my colleagues, then we'd purchase materials and secure a location for building the float.""}","""",test,Build a float to dazzle the crowd at the Macy's Day Parade.,"""","""","generate, unconstrained"
4,4,10,1,"""",228299,survey-text,4,502021,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""I'd wait study how the locks are and I'd ensure there's a sharp object I can use to pick the lock, then wait for the guard to take a walk before picking the lock and crawling my way out.""}","""",test,Escape from inside a locked custodial closet.,"""","""","generate, unconstrained"
5,5,10,1,"""",79237,survey-text,5,581303,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""I'd give him at least 5m in front to make a good run up so as to gather momentum, once I get close to him, I'd place my hands on his shoulder and try to jump over him.""}","""",test,Jump over a six foot tall man.,"""","""","generate, unconstrained"
6,6,10,1,"""",73227,survey-text,6,654569,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""I'd get my painting equipment(paint brush and paint), then go over to the fence and start painting. ""}","""",test,Paint a fence.,"""","""","generate, unconstrained"
7,7,10,1,"""",112203,survey-text,7,766824,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""I'd get a bowl, put my butter, sugar and flour and use my spatula to stir the mixture to get the desired outcome. Then I pout in a pan, ready to put in the oven for baking.""}","""",test,Bake a cake.,"""","""","generate, unconstrained"
8,8,10,1,"""",84572,survey-text,8,851433,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""Quicksands aren't actually quick, the goal is to make yourself very light, standstill for some moments and then make short backward steps.""}","""",test,Escape quicksand.,"""","""","generate, unconstrained"
9,9,10,1,"""",75783,survey-text,9,927268,21,60edecb2a22d916d2ed4a6f9,60ef4495862a9091952419bc,60e435dd661306d662234181,60ef4495862a9091952419bc,"{""Plan"":""The best way to do this is to ensure I have the contact of the animal control services, that way if any poacher try to hurt them, there would be a rescue team in handy.""}","""",test,Protect the deer in your nearby woods during hunting season.,"""","""","generate, unconstrained"
