,index,Unnamed: 0,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,phase,prompt,task,constraint
0,0,0,1,2,"[{""page_index"":0,""viewing_time"":11669.900000000373},{""page_index"":1,""viewing_time"":15082.400000000373},{""page_index"":2,""viewing_time"":12085.299999999814},{""page_index"":3,""viewing_time"":8159},{""page_index"":4,""viewing_time"":4056.5}]",51055.5,instructions,0,51065,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"""","""","""","""","""",""""
1,1,1,1,2,"""",9576.6,survey-multi-choice,1,60648,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Q0"":""Plans to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""",""""
2,2,2,1,2,"[{""page_index"":0,""viewing_time"":1834.4000000003725}]",1835.1,instructions,2,62497,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"""","""","""","""","""",""""
3,3,3,1,2,"""",268375.4,survey-text,3,330916,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""The best way to help someone win re-election without the use of marketing is through word-of-mouth. I would encourage my town mayor to volunteer in person for many local charities: especially charities that have a very public-facing image. Running in local 5ks for charity, helping build houses or shelters for the homeless or underprivileged, and volunteering at animal shelters are a few very public charities that would help boost my incumbent's image. Without the use of marketing, let the people of the town market the mayor themselves by photographing and sharing his/her good deeds. ""}","""",test,Help your local town mayor win re-election.,generate plans,"without using billboards, sporting events, fundraisers, a local chamber of commerce, small businesses, social media, a website, signs, rallies, flyers, or phones"
4,6,6,1,2,"""",313673.4,survey-text,5,892779,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""Imaginary baseball with friends is a great way to experience the best game of one's life without requiring any actual athletic talent. Dungeons and Dragons is a game that exists entirely in the players' heads and has captured the minds of generations- so why not role play other sports? Toss an invisible ball to your friends and let them decide if it's a home run or a strike. Have the outfielders do an extended improvisational routine by quickly responding to each others' movements to decide the outs, homeruns, and strikes. Let the umpire play the role of Dungeon Master by narrating the activity from an advantageous point-of-view to keep all players on the same page. The possibilities are as endless as the players' imaginations and don't require one to be able to hit a ball at all.""}","""",test,Play baseball with your friends.,generate plans,"without using a bat, a baseball, gloves, a field, or markers"
5,7,7,1,2,"""",126892.3,survey-text,6,1019690,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""The Dutch and Japanese have been wearing wooden shoes for centuries. A cobbler isn't necessary to make a satisfactory pair of shoes when carpenters and whittlers are also available. Cork is a soft material made from the bark of the cork tree and would be a natural insole for a pair of study wooden clogs.""}","""",test,Make a pair of new shoes.,generate plans,"without using leather, fabric, shoe laces, canvas, a guidebook, or a cobbler"
6,8,8,1,2,"""",248989.9,survey-text,7,1268689,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""It's been said that wearing a hard hat and a reflective vest can get you into almost anywhere. Find the oldest-looking student at the school and outfit him with official-looking handyman gear. Send him into the school and have him begin moving the trophy case under the guise of responding to a potential water leak near the case. While appearing to work around the area, he can easily steal the trophy and replace it with a cheaper version. His equipment bag will be more than satisfactory to smuggle the trophy out without raising suspicion. ""}","""",test,Steal the championship trophy from behind your school's award case.,generate plans,"without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person"
7,9,9,1,2,"""",103842.4,survey-text,8,1372546,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""Go to the beach and dig a hole as deep as you can. Bury your body in the sand and relax as the damp sand keeps you cool and the breeze (and sunscreen) keep the sun from burning your exposed head.""}","""",test,Cool down in a record-breaking heat wave.,generate plans,"without using an air conditioner, fans, washclothes, cold water, a bathtub, ice cubes, ice cream, popsicles, bottled water, or a deep freezer"
8,10,10,1,2,"""",173073.5,survey-text,9,1545654,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"{""Plan"":""Find a group of local teenagers and pay them each a meager amount of money to help with your scheme. Assuming this is a two-story house, have some stationed on the ground, some in the next window up, and some on the roof (how they access the roof is entirely up to them). Have them pass the sofa from one floor to the other vertically, making sure there is never one person with the majority of the burden.""}","""",test,Get your sofa onto the roof of your house.,generate plans,"without using a pulley, a Genie lift, a protective plastic layer, a ladder, or a crane"
9,11,11,1,2,"[{""page_index"":0,""viewing_time"":2527.0999999996275},{""page_index"":1,""viewing_time"":10349.5}]",12879,instructions,10,1558537,73,6108ba2774a08a10c085bb41,610ac721e81f832357049a5e,61083f623522116ea15fdc05,610ac721e81f832357049a5e,"""","""","""","""","""",""""
